285,260729564,RandomPlayer,0,260729564,33,game00285.log,
286,RandomPlayer,260729564,1,260729564,28,game00286.log,
287,260729564,RandomPlayer,GAMEOVER DRAW,NOBODY,56,game00287.log,
288,RandomPlayer,260729564,0,RandomPlayer,41,game00288.log,TIMEOUT
289,260729564,RandomPlayer,GAMEOVER DRAW,NOBODY,56,game00289.log,
290,RandomPlayer,260729564,1,260729564,18,game00290.log,
291,260729564,RandomPlayer,0,260729564,23,game00291.log,
292,RandomPlayer,260729564,GAMEOVER DRAW,NOBODY,56,game00292.log,
293,260729564,RandomPlayer,1,RandomPlayer,40,game00293.log,TIMEOUT
294,RandomPlayer,260729564,1,260729564,26,game00294.log,
295,260729564,RandomPlayer,0,260729564,25,game00295.log,
296,RandomPlayer,260729564,1,260729564,22,game00296.log,
297,260729564,RandomPlayer,1,RandomPlayer,36,game00297.log,
298,RandomPlayer,260729564,1,260729564,40,game00298.log,
299,260729564,RandomPlayer,0,260729564,47,game00299.log,
300,RandomPlayer,260729564,GAMEOVER DRAW,NOBODY,56,game00300.log,
301,260729564,RandomPlayer,1,RandomPlayer,38,game00301.log,TIMEOUT
302,RandomPlayer,260729564,GAMEOVER DRAW,NOBODY,56,game00302.log,
303,260729564,RandomPlayer,1,RandomPlayer,18,game00303.log,
304,RandomPlayer,260729564,0,RandomPlayer,51,game00304.log,
305,260729564,RandomPlayer,1,RandomPlayer,26,game00305.log,
306,RandomPlayer,260729564,1,260729564,26,game00306.log,
307,260729564,RandomPlayer,GAMEOVER DRAW,NOBODY,56,game00307.log,
308,RandomPlayer,260729564,1,260729564,38,game00308.log,
309,260729564,RandomPlayer,1,RandomPlayer,38,game00309.log,TIMEOUT
310,RandomPlayer,260729564,GAMEOVER DRAW,NOBODY,56,game00310.log,
311,260729564,RandomPlayer,GAMEOVER DRAW,NOBODY,56,game00311.log,
312,RandomPlayer,260729564,1,260729564,36,game00312.log,
313,260729564,RandomPlayer,0,260729564,35,game00313.log,
314,RandomPlayer,260729564,1,260729564,20,game00314.log,
315,260729564,RandomPlayer,0,260729564,37,game00315.log,
316,RandomPlayer,260729564,GAMEOVER DRAW,NOBODY,56,game00316.log,
317,260729564,RandomPlayer,GAMEOVER DRAW,NOBODY,56,game00317.log,
318,RandomPlayer,260729564,1,260729564,42,game00318.log,
319,260729564,RandomPlayer,1,RandomPlayer,42,game00319.log,TIMEOUT
320,RandomPlayer,260729564,1,260729564,40,game00320.log,
321,260729564,RandomPlayer,1,RandomPlayer,52,game00321.log,
322,RandomPlayer,260729564,0,RandomPlayer,31,game00322.log,TIMEOUT
323,260729564,RandomPlayer,GAMEOVER DRAW,NOBODY,56,game00323.log,
324,RandomPlayer,260729564,1,260729564,40,game00324.log,
325,260729564,RandomPlayer,1,RandomPlayer,28,game00325.log,
326,RandomPlayer,260729564,0,RandomPlayer,43,game00326.log,TIMEOUT
327,260729564,RandomPlayer,GAMEOVER DRAW,NOBODY,56,game00327.log,
328,RandomPlayer,260729564,GAMEOVER DRAW,NOBODY,56,game00328.log,
329,260729564,RandomPlayer,0,260729564,23,game00329.log,
330,RandomPlayer,260729564,1,260729564,32,game00330.log,
331,260729564,RandomPlayer,GAMEOVER DRAW,NOBODY,56,game00331.log,
332,RandomPlayer,260729564,1,260729564,32,game00332.log,
333,260729564,RandomPlayer,0,260729564,37,game00333.log,
334,RandomPlayer,260729564,GAMEOVER DRAW,NOBODY,56,game00334.log,
335,260729564,RandomPlayer,1,RandomPlayer,34,game00335.log,
336,RandomPlayer,260729564,0,RandomPlayer,29,game00336.log,TIMEOUT
337,260729564,RandomPlayer,0,260729564,25,game00337.log,
338,RandomPlayer,260729564,GAMEOVER DRAW,NOBODY,56,game00338.log,
339,260729564,RandomPlayer,1,RandomPlayer,40,game00339.log,TIMEOUT
340,RandomPlayer,260729564,1,260729564,42,game00340.log,
341,260729564,RandomPlayer,0,260729564,23,game00341.log,
342,RandomPlayer,260729564,GAMEOVER DRAW,NOBODY,56,game00342.log,
343,260729564,RandomPlayer,GAMEOVER DRAW,NOBODY,56,game00343.log,
344,RandomPlayer,260729564,GAMEOVER DRAW,NOBODY,56,game00344.log,
345,260729564,RandomPlayer,1,RandomPlayer,46,game00345.log,TIMEOUT
346,RandomPlayer,260729564,GAMEOVER DRAW,NOBODY,56,game00346.log,
347,260729564,RandomPlayer,0,260729564,53,game00347.log,
348,RandomPlayer,260729564,GAMEOVER DRAW,NOBODY,56,game00348.log,
349,260729564,RandomPlayer,GAMEOVER DRAW,NOBODY,56,game00349.log,
350,RandomPlayer,260729564,0,RandomPlayer,47,game00350.log,
351,260729564,RandomPlayer,GAMEOVER DRAW,NOBODY,56,game00351.log,
352,RandomPlayer,260729564,1,260729564,20,game00352.log,
353,260729564,RandomPlayer,0,260729564,29,game00353.log,
354,RandomPlayer,260729564,1,260729564,30,game00354.log,
355,260729564,RandomPlayer,0,260729564,25,game00355.log,
356,RandomPlayer,260729564,1,260729564,28,game00356.log,
357,260729564,RandomPlayer,GAMEOVER DRAW,NOBODY,56,game00357.log,
358,RandomPlayer,260729564,1,260729564,24,game00358.log,
359,260729564,RandomPlayer,GAMEOVER DRAW,NOBODY,56,game00359.log,
360,RandomPlayer,260729564,0,RandomPlayer,41,game00360.log,TIMEOUT
361,260729564,RandomPlayer,GAMEOVER DRAW,NOBODY,56,game00361.log,
362,RandomPlayer,260729564,GAMEOVER DRAW,NOBODY,56,game00362.log,
363,260729564,RandomPlayer,GAMEOVER DRAW,NOBODY,56,game00363.log,
364,RandomPlayer,260729564,GAMEOVER DRAW,NOBODY,56,game00364.log,
365,260729564,RandomPlayer,0,260729564,25,game00365.log,
366,RandomPlayer,260729564,GAMEOVER DRAW,NOBODY,56,game00366.log,
367,260729564,RandomPlayer,0,260729564,29,game00367.log,
368,RandomPlayer,260729564,1,260729564,40,game00368.log,
369,260729564,RandomPlayer,0,260729564,25,game00369.log,
370,RandomPlayer,260729564,GAMEOVER DRAW,NOBODY,56,game00370.log,
371,260729564,RandomPlayer,0,260729564,23,game00371.log,
372,RandomPlayer,260729564,1,260729564,22,game00372.log,
373,260729564,RandomPlayer,GAMEOVER DRAW,NOBODY,56,game00373.log,
374,RandomPlayer,260729564,GAMEOVER DRAW,NOBODY,56,game00374.log,
375,260729564,RandomPlayer,GAMEOVER DRAW,NOBODY,56,game00375.log,
376,RandomPlayer,260729564,1,260729564,42,game00376.log,
377,260729564,RandomPlayer,1,RandomPlayer,36,game00377.log,TIMEOUT
378,RandomPlayer,260729564,GAMEOVER DRAW,NOBODY,56,game00378.log,
379,260729564,RandomPlayer,GAMEOVER DRAW,NOBODY,56,game00379.log,
380,RandomPlayer,260729564,0,RandomPlayer,35,game00380.log,TIMEOUT
381,260729564,RandomPlayer,1,RandomPlayer,54,game00381.log,
382,RandomPlayer,260729564,0,RandomPlayer,37,game00382.log,TIMEOUT
383,260729564,RandomPlayer,0,260729564,33,game00383.log,
384,RandomPlayer,260729564,1,260729564,30,game00384.log,
385,260729564,RandomPlayer,GAMEOVER DRAW,NOBODY,56,game00385.log,
386,RandomPlayer,260729564,1,260729564,40,game00386.log,
387,260729564,RandomPlayer,0,260729564,29,game00387.log,
388,RandomPlayer,260729564,0,RandomPlayer,43,game00388.log,TIMEOUT
389,260729564,RandomPlayer,0,260729564,49,game00389.log,
390,RandomPlayer,260729564,1,260729564,32,game00390.log,
391,260729564,RandomPlayer,0,260729564,41,game00391.log,
392,RandomPlayer,260729564,0,RandomPlayer,35,game00392.log,TIMEOUT
393,260729564,RandomPlayer,GAMEOVER DRAW,NOBODY,56,game00393.log,
394,RandomPlayer,260729564,1,260729564,36,game00394.log,
395,260729564,RandomPlayer,GAMEOVER DRAW,NOBODY,56,game00395.log,
396,RandomPlayer,260729564,GAMEOVER DRAW,NOBODY,56,game00396.log,
